Jahr,Kategorie,value
1650,Verfügbare Ackerfläche,3.2
1650,Benötigte Ackerfläche,0.25259516
1650,Bei doppelter Produktivität,
1650,Bei dreifacher Produktivität,
1675,Verfügbare Ackerfläche,3.2
1675,Benötigte Ackerfläche,0.25259516
1675,Bei doppelter Produktivität,
1675,Bei dreifacher Produktivität,
1701,Verfügbare Ackerfläche,3.2
1701,Benötigte Ackerfläche,0.25259516
1701,Bei doppelter Produktivität,
1701,Bei dreifacher Produktivität,
1726,Verfügbare Ackerfläche,3.2
1726,Benötigte Ackerfläche,0.26297578
1726,Bei doppelter Produktivität,
1726,Bei dreifacher Produktivität,
1751,Verfügbare Ackerfläche,3.2
1751,Benötigte Ackerfläche,0.2733564
1751,Bei doppelter Produktivität,
1751,Bei dreifacher Produktivität,
1777,Verfügbare Ackerfläche,3.2
1777,Benötigte Ackerfläche,0.29411765
1777,Bei doppelter Produktivität,
1777,Bei dreifacher Produktivität,
1801,Verfügbare Ackerfläche,3.2
1801,Benötigte Ackerfläche,0.32525952
1801,Bei doppelter Produktivität,
1801,Bei dreifacher Produktivität,
1827,Verfügbare Ackerfläche,3.2
1827,Benötigte Ackerfläche,0.38754325
1827,Bei doppelter Produktivität,
1827,Bei dreifacher Produktivität,
1851,Verfügbare Ackerfläche,3.2
1851,Benötigte Ackerfläche,0.46020761
1851,Bei doppelter Produktivität,
1851,Bei dreifacher Produktivität,
1877,Verfügbare Ackerfläche,3.2
1877,Benötigte Ackerfläche,0.55363322
1877,Bei doppelter Produktivität,
1877,Bei dreifacher Produktivität,
1900,Verfügbare Ackerfläche,3.2
1900,Benötigte Ackerfläche,0.65743945
1900,Bei doppelter Produktivität,
1900,Bei dreifacher Produktivität,
1901,Verfügbare Ackerfläche,3.2
1901,Benötigte Ackerfläche,
1901,Bei doppelter Produktivität,
1901,Bei dreifacher Produktivität,
1914,Verfügbare Ackerfläche,3.179930796
1914,Benötigte Ackerfläche,
1914,Bei doppelter Produktivität,
1914,Bei dreifacher Produktivität,
1926,Verfügbare Ackerfläche,3.148788927
1926,Benötigte Ackerfläche,0.80276817
1926,Bei doppelter Produktivität,
1926,Bei dreifacher Produktivität,
1938,Verfügbare Ackerfläche,3.107266436
1938,Benötigte Ackerfläche,
1938,Bei doppelter Produktivität,
1938,Bei dreifacher Produktivität,
1950,Verfügbare Ackerfläche,3.055363322
1950,Benötigte Ackerfläche,
1950,Bei doppelter Produktivität,
1950,Bei dreifacher Produktivität,
1951,Verfügbare Ackerfläche,
1951,Benötigte Ackerfläche,1.01038062
1951,Bei doppelter Produktivität,
1951,Bei dreifacher Produktivität,
1964,Verfügbare Ackerfläche,2.982698962
1964,Benötigte Ackerfläche,
1964,Bei doppelter Produktivität,
1964,Bei dreifacher Produktivität,
1974,Verfügbare Ackerfläche,
1974,Benötigte Ackerfläche,
1974,Bei doppelter Produktivität,0.8038685243
1974,Bei dreifacher Produktivität,
1975,Verfügbare Ackerfläche,
1975,Benötigte Ackerfläche,1.53979239
1975,Bei doppelter Produktivität,
1975,Bei dreifacher Produktivität,
1977,Verfügbare Ackerfläche,2.878892734
1977,Benötigte Ackerfläche,
1977,Bei doppelter Produktivität,
1977,Bei dreifacher Produktivität,
1982,Verfügbare Ackerfläche,
1982,Benötigte Ackerfläche,
1982,Bei doppelter Produktivität,0.9751391968
1982,Bei dreifacher Produktivität,
1986,Verfügbare Ackerfläche,
1986,Benötigte Ackerfläche,
1986,Bei doppelter Produktivität,1.071944359
1986,Bei dreifacher Produktivität,
1987,Verfügbare Ackerfläche,
1987,Benötigte Ackerfläche,2.00692042
1987,Bei doppelter Produktivität,
1987,Bei dreifacher Produktivität,
1988,Verfügbare Ackerfläche,2.795847751
1988,Benötigte Ackerfläche,
1988,Bei doppelter Produktivität,
1988,Bei dreifacher Produktivität,
1992,Verfügbare Ackerfläche,
1992,Benötigte Ackerfläche,
1992,Bei doppelter Produktivität,1.232045205
1992,Bei dreifacher Produktivität,
1998,Verfügbare Ackerfläche,
1998,Benötigte Ackerfläche,
1998,Bei doppelter Produktivität,1.399592602
1998,Bei dreifacher Produktivität,
2000,Verfügbare Ackerfläche,2.6816609
2000,Benötigte Ackerfläche,2.79584775
2000,Bei doppelter Produktivität,
2000,Bei dreifacher Produktivität,
2002,Verfügbare Ackerfläche,
2002,Benötigte Ackerfläche,
2002,Bei doppelter Produktivität,1.53363052
2002,Bei dreifacher Produktivität,
2005,Verfügbare Ackerfläche,
2005,Benötigte Ackerfläche,
2005,Bei doppelter Produktivität,
2005,Bei dreifacher Produktivität,0.81314879
2008,Verfügbare Ackerfläche,
2008,Benötigte Ackerfläche,
2008,Bei doppelter Produktivität,1.72351757
2008,Bei dreifacher Produktivität,
2012,Verfügbare Ackerfläche,2.546712803
2012,Benötigte Ackerfläche,
2012,Bei doppelter Produktivität,
2012,Bei dreifacher Produktivität,
2014,Verfügbare Ackerfläche,
2014,Benötigte Ackerfläche,
2014,Bei doppelter Produktivität,1.969253752
2014,Bei dreifacher Produktivität,0.98961938
2016,Verfügbare Ackerfläche,
2016,Benötigte Ackerfläche,
2016,Bei doppelter Produktivität,2.054889088
2016,Bei dreifacher Produktivität,
2017,Verfügbare Ackerfläche,
2017,Benötigte Ackerfläche,4
2017,Bei doppelter Produktivität,
2017,Bei dreifacher Produktivität,
2019,Verfügbare Ackerfläche,2.453287197
2019,Benötigte Ackerfläche,
2019,Bei doppelter Produktivität,
2019,Bei dreifacher Produktivität,
2020,Verfügbare Ackerfläche,
2020,Benötigte Ackerfläche,
2020,Bei doppelter Produktivität,
2020,Bei dreifacher Produktivität,1.12456747
2024,Verfügbare Ackerfläche,
2024,Benötigte Ackerfläche,
2024,Bei doppelter Produktivität,2.382537331
2024,Bei dreifacher Produktivität,1.26989619
2026,Verfügbare Ackerfläche,2.349480969
2026,Benötigte Ackerfläche,4.77854671
2026,Bei doppelter Produktivität,
2026,Bei dreifacher Produktivität,
2028,Verfügbare Ackerfläche,
2028,Benötigte Ackerfläche,
2028,Bei doppelter Produktivität,2.59848731
2028,Bei dreifacher Produktivität,
2029,Verfügbare Ackerfläche,
2029,Benötigte Ackerfläche,
2029,Bei doppelter Produktivität,
2029,Bei dreifacher Produktivität,1.40484429
2032,Verfügbare Ackerfläche,
2032,Benötigte Ackerfläche,
2032,Bei doppelter Produktivität,2.792097635
2032,Bei dreifacher Produktivität,
2034,Verfügbare Ackerfläche,2.214532872
2034,Benötigte Ackerfläche,
2034,Bei doppelter Produktivität,2.941028655
2034,Bei dreifacher Produktivität,1.55017301
2038,Verfügbare Ackerfläche,
2038,Benötigte Ackerfläche,
2038,Bei doppelter Produktivität,3.16814846
2038,Bei dreifacher Produktivität,
2039,Verfügbare Ackerfläche,2.100346021
2039,Benötigte Ackerfläche,
2039,Bei doppelter Produktivität,
2039,Bei dreifacher Produktivität,
2042,Verfügbare Ackerfläche,
2042,Benötigte Ackerfläche,
2042,Bei doppelter Produktivität,3.458563948
2042,Bei dreifacher Produktivität,1.80968858
2044,Verfügbare Ackerfläche,
2044,Benötigte Ackerfläche,
2044,Bei doppelter Produktivität,3.633557896
2044,Bei dreifacher Produktivität,
2045,Verfügbare Ackerfläche,1.975778547
2045,Benötigte Ackerfläche,
2045,Bei doppelter Produktivität,
2045,Bei dreifacher Produktivität,
2046,Verfügbare Ackerfläche,
2046,Benötigte Ackerfläche,
2046,Bei doppelter Produktivität,
2046,Bei dreifacher Produktivität,1.9550173
2048,Verfügbare Ackerfläche,
2048,Benötigte Ackerfläche,
2048,Bei doppelter Produktivität,3.957482863
2048,Bei dreifacher Produktivität,
2049,Verfügbare Ackerfläche,1.851211073
2049,Benötigte Ackerfläche,
2049,Bei doppelter Produktivität,
2049,Bei dreifacher Produktivität,
2050,Verfügbare Ackerfläche,
2050,Benötigte Ackerfläche,
2050,Bei doppelter Produktivität,
2050,Bei dreifacher Produktivität,
2051,Verfügbare Ackerfläche,
2051,Benötigte Ackerfläche,
2051,Bei doppelter Produktivität,
2051,Bei dreifacher Produktivität,2.12110727
2052,Verfügbare Ackerfläche,
2052,Benötigte Ackerfläche,
2052,Bei doppelter Produktivität,4.482464707
2052,Bei dreifacher Produktivität,
2053,Verfügbare Ackerfläche,1.747404844
2053,Benötigte Ackerfläche,
2053,Bei doppelter Produktivität,
2053,Bei dreifacher Produktivität,
2054,Verfügbare Ackerfläche,
2054,Benötigte Ackerfläche,
2054,Bei doppelter Produktivität,4.664905206
2054,Bei dreifacher Produktivität,
2055,Verfügbare Ackerfläche,
2055,Benötigte Ackerfläche,
2055,Bei doppelter Produktivität,
2055,Bei dreifacher Produktivität,2.32871972
2057,Verfügbare Ackerfläche,1.602076125
2057,Benötigte Ackerfläche,
2057,Bei doppelter Produktivität,
2057,Bei dreifacher Produktivität,
2059,Verfügbare Ackerfläche,
2059,Benötigte Ackerfläche,
2059,Bei doppelter Produktivität,
2059,Bei dreifacher Produktivität,2.50519031
2061,Verfügbare Ackerfläche,1.467128028
2061,Benötigte Ackerfläche,
2061,Bei doppelter Produktivität,
2061,Bei dreifacher Produktivität,
2062,Verfügbare Ackerfläche,
2062,Benötigte Ackerfläche,
2062,Bei doppelter Produktivität,
2062,Bei dreifacher Produktivität,2.66089965
2063,Verfügbare Ackerfläche,1.321799308
2063,Benötigte Ackerfläche,
2063,Bei doppelter Produktivität,
2063,Bei dreifacher Produktivität,
2065,Verfügbare Ackerfläche,1.197231834
2065,Benötigte Ackerfläche,
2065,Bei doppelter Produktivität,
2065,Bei dreifacher Produktivität,
2066,Verfügbare Ackerfläche,1.103806228
2066,Benötigte Ackerfläche,
2066,Bei doppelter Produktivität,
2066,Bei dreifacher Produktivität,2.84775087
2067,Verfügbare Ackerfläche,1
2067,Benötigte Ackerfläche,
2067,Bei doppelter Produktivität,
2067,Bei dreifacher Produktivität,
2068,Verfügbare Ackerfläche,
2068,Benötigte Ackerfläche,
2068,Bei doppelter Produktivität,
2068,Bei dreifacher Produktivität,3.01384083
2071,Verfügbare Ackerfläche,
2071,Benötigte Ackerfläche,
2071,Bei doppelter Produktivität,
2071,Bei dreifacher Produktivität,3.1799308
2073,Verfügbare Ackerfläche,
2073,Benötigte Ackerfläche,
2073,Bei doppelter Produktivität,
2073,Bei dreifacher Produktivität,3.31487889
2075,Verfügbare Ackerfläche,
2075,Benötigte Ackerfläche,
2075,Bei doppelter Produktivität,
2075,Bei dreifacher Produktivität,3.47058824
2077,Verfügbare Ackerfläche,
2077,Benötigte Ackerfläche,
2077,Bei doppelter Produktivität,
2077,Bei dreifacher Produktivität,3.64705882
2079,Verfügbare Ackerfläche,
2079,Benötigte Ackerfläche,
2079,Bei doppelter Produktivität,
2079,Bei dreifacher Produktivität,3.81314879
2081,Verfügbare Ackerfläche,
2081,Benötigte Ackerfläche,
2081,Bei doppelter Produktivität,
2081,Bei dreifacher Produktivität,3.94809689
2083,Verfügbare Ackerfläche,
2083,Benötigte Ackerfläche,
2083,Bei doppelter Produktivität,
2083,Bei dreifacher Produktivität,4.11418685
2085,Verfügbare Ackerfläche,
2085,Benötigte Ackerfläche,
2085,Bei doppelter Produktivität,
2085,Bei dreifacher Produktivität,4.30103806
2087,Verfügbare Ackerfläche,
2087,Benötigte Ackerfläche,
2087,Bei doppelter Produktivität,
2087,Bei dreifacher Produktivität,4.57093426
2088,Verfügbare Ackerfläche,
2088,Benötigte Ackerfläche,
2088,Bei doppelter Produktivität,
2088,Bei dreifacher Produktivität,4.67474048
