Krieg,Nation,Kategorie,value
Krimkrieg,Franzosen,Getötet,17.4
Krimkrieg,Franzosen,Verwundet,82.6
Krimkrieg,Engländer,Getötet,18.6
Krimkrieg,Engländer,Verwundet,81.4
Sardinischer Krieg,Frankreich,Getötet,13
Sardinischer Krieg,Frankreich,Verwundet,87
Sardinischer Krieg,Österreicher,Getötet,17.2
Sardinischer Krieg,Österreicher,Verwundet,82.8
Amerikanischer Bürgerkrieg,Amerikaner,Getötet,13.7
Amerikanischer Bürgerkrieg,Amerikaner,Verwundet,86.3
Chilenischer Bürgerkrieg,Armee des Diktators,Getötet,35.4
Chilenischer Bürgerkrieg,Armee des Diktators,Verwundet,64.6
Chilenischer Bürgerkrieg,Armee der Konstitution,Getötet,29.7
Chilenischer Bürgerkrieg,Armee der Konstitution,Verwundet,70.3
Chilenischer Bürgerkrieg,Armee der Konstitution mit Mannlicher bewaffnet,Getötet,49.4
Chilenischer Bürgerkrieg,Armee der Konstitution mit Mannlicher bewaffnet,Verwundet,50.6
