dataset,value,month
Getötete,3,2003-01-01
Getötete (vorläufige Daten),,2003-01-01
Getötete,2,2003-02-01
Getötete (vorläufige Daten),,2003-02-01
Getötete,3962,2003-03-01
Getötete (vorläufige Daten),,2003-03-01
Getötete,3472,2003-04-01
Getötete (vorläufige Daten),,2003-04-01
Getötete,545,2003-05-01
Getötete (vorläufige Daten),,2003-05-01
Getötete,597,2003-06-01
Getötete (vorläufige Daten),,2003-06-01
Getötete,646,2003-07-01
Getötete (vorläufige Daten),,2003-07-01
Getötete,833,2003-08-01
Getötete (vorläufige Daten),,2003-08-01
Getötete,566,2003-09-01
Getötete (vorläufige Daten),,2003-09-01
Getötete,515,2003-10-01
Getötete (vorläufige Daten),,2003-10-01
Getötete,487,2003-11-01
Getötete (vorläufige Daten),,2003-11-01
Getötete,524,2003-12-01
Getötete (vorläufige Daten),,2003-12-01
Getötete,610,2004-01-01
Getötete (vorläufige Daten),,2004-01-01
Getötete,663,2004-02-01
Getötete (vorläufige Daten),,2004-02-01
Getötete,1004,2004-03-01
Getötete (vorläufige Daten),,2004-03-01
Getötete,1303,2004-04-01
Getötete (vorläufige Daten),,2004-04-01
Getötete,655,2004-05-01
Getötete (vorläufige Daten),,2004-05-01
Getötete,910,2004-06-01
Getötete (vorläufige Daten),,2004-06-01
Getötete,834,2004-07-01
Getötete (vorläufige Daten),,2004-07-01
Getötete,878,2004-08-01
Getötete (vorläufige Daten),,2004-08-01
Getötete,1042,2004-09-01
Getötete (vorläufige Daten),,2004-09-01
Getötete,1033,2004-10-01
Getötete (vorläufige Daten),,2004-10-01
Getötete,1676,2004-11-01
Getötete (vorläufige Daten),,2004-11-01
Getötete,1129,2004-12-01
Getötete (vorläufige Daten),,2004-12-01
Getötete,1222,2005-01-01
Getötete (vorläufige Daten),,2005-01-01
Getötete,1297,2005-02-01
Getötete (vorläufige Daten),,2005-02-01
Getötete,905,2005-03-01
Getötete (vorläufige Daten),,2005-03-01
Getötete,1145,2005-04-01
Getötete (vorläufige Daten),,2005-04-01
Getötete,1396,2005-05-01
Getötete (vorläufige Daten),,2005-05-01
Getötete,1347,2005-06-01
Getötete (vorläufige Daten),,2005-06-01
Getötete,1536,2005-07-01
Getötete (vorläufige Daten),,2005-07-01
Getötete,2352,2005-08-01
Getötete (vorläufige Daten),,2005-08-01
Getötete,1444,2005-09-01
Getötete (vorläufige Daten),,2005-09-01
Getötete,1311,2005-10-01
Getötete (vorläufige Daten),,2005-10-01
Getötete,1487,2005-11-01
Getötete (vorläufige Daten),,2005-11-01
